Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
23500,116344,81792,21921,36666,34809,16824,30991,37830583,93077,35963,8961,32440640,30956,34488855,16127,27816333,29841,63363010,12833,44292795,23673875
23750,114427,82928,21710,36253,37583,16712,19504,37484820,58671,34844,9089,32725685,30911,33949589,15114,28192411,30125,60508360,12285,44784932,24178593
24000,117310,83128,21618,37294,34788,16621,19119,38716605,92994,39532,9253,33143458,32507,34298062,14288,27700905,34290,60890078,9212,45882913,25354508
24250,120421,78705,21371,34919,33397,17558,23116,38414942,59126,41168,9008,33144531,30352,34693945,13706,28124719,29270,62733019,10457,45889838,24698451
24500,113958,77373,22079,36238,36979,16008,25670,39283658,55080,40049,9455,33490582,32925,34992621,14340,28557264,30497,63593113,9208,46568182,24770523
24750,120096,77207,21712,36374,41417,16235,18416,39227130,57500,37580,9221,33754518,32459,36004135,13756,28985101,31627,61469001,9494,47053573,24984242
25000,113631,89171,21872,33158,33159,16964,19373,40152195,59761,42717,9346,36297716,31421,36005228,14551,29174608,35996,60240071,10041,47869634,25185082
25250,107002,88329,22037,36925,33724,18097,21484,39994520,54599,35913,8656,35862153,31592,36269120,18553,29245909,30210,61270043,9541,48386940,25435146
25500,142057,89167,21745,34397,34714,16716,22391,41095138,56209,35422,9292,34798911,33167,36449539,14462,29330676,29906,62105476,9167,48888083,25749602
25750,112044,79045,21656,33778,33966,16414,20436,40861456,60303,45376,9358,35142762,32718,37199935,14421,29778793,30442,62019717,10211,49586767,25960521
26000,110339,82964,22116,32654,39085,16589,47614,41481605,54908,38791,8833,35930237,29819,38229267,15544,29620208,33497,64631837,9578,50159613,26487459
26250,117751,100132,21414,35489,34200,17338,19121,42231126,59662,40781,8915,35781232,31420,37616243,14885,29828349,30722,63319321,9248,50730376,26584167
26500,114215,85752,21673,34439,40169,17834,19105,41895083,57834,45256,8719,36039912,32708,38131091,14841,33082777,30955,65108883,9292,51463357,26842631
26750,112454,102998,21674,33421,40758,18112,19284,46022100,59167,38231,9333,36526670,33672,38516930,14450,31470845,31557,64386500,9669,52592472,27007758
27000,125501,93386,21424,31414,60752,18335,21969,42673163,56580,44413,8583,37327654,31083,39302961,14023,31079504,29057,64890430,11007,54525314,27217645
27250,113961,103391,21919,31807,37231,15870,25813,42946268,56128,43502,8877,37740544,30116,39374626,35005,31255218,29353,67336333,9580,53432035,27446845
27500,116954,87582,21714,33161,37235,16841,24230,43736249,56171,39823,9093,37770503,32006,39609803,14041,31518059,35092,66706368,9211,53828547,27752058
27750,118372,92037,21798,32243,44958,16663,20671,44907240,62127,45133,8841,38612780,31734,39894893,14013,31497387,35330,68544449,9371,54731065,27957990
28000,120501,92293,21757,32752,35311,16785,17960,44110173,57498,43758,9159,38198473,35162,40257943,14491,31840898,29789,69194201,9543,55537923,28338802
28250,115380,91256,22293,35249,35570,16425,18412,44492028,56701,44630,9295,38407518,35956,40580580,14746,32109708,30467,71298901,9671,55662969,28500343
28500,115088,87054,21869,30972,34957,16661,18312,44669777,62504,40710,9255,39392129,31595,41073130,14032,32588877,28988,68614194,9458,56330067,28815902
28750,120593,94786,21700,32538,32891,15383,22408,45095801,58252,43787,8588,39399381,30911,41745196,14408,33463860,29777,69388921,9834,56977585,29016631
29000,114207,89888,22007,33594,35421,16254,18818,46270365,60916,51170,9120,42638131,33774,41579652,14139,32820527,30388,69944299,9751,57381425,29231278
29250,121012,91845,21622,31518,36452,16627,21822,47852021,58547,40633,9299,40180524,30712,41911869,14161,33312115,34013,71855655,9874,58004070,29503406
29500,127810,89168,21962,31907,34136,16203,17785,47389050,59083,42734,8700,40198193,31426,42910857,14666,34002045,31885,72337915,11958,58695131,29780579
29750,126026,96630,21533,33071,36824,19128,19199,47023686,57431,44716,9213,40736380,32727,42594225,15134,33682706,31327,72312126,9584,61960548,29980958
30000,129834,90833,22126,31621,36711,16751,23133,50609774,58884,52093,9292,41136474,31961,43224699,14663,34131597,36177,72927630,10378,59991951,30321724
30250,178416,96534,23288,31892,34997,17206,26753,47505975,59385,45748,9258,41275269,50312,43385911,14331,34181053,29716,76890400,9583,60353211,30471436
30500,226715,95137,21851,32357,40831,16709,26123,47935486,58369,45618,9000,41419896,32512,44784951,14369,34727617,31015,75421333,9752,61119524,30866045
30750,161212,100256,22124,32498,36161,16170,22218,48668997,58089,44170,8629,42697717,33795,44831413,14049,35080262,30530,74214030,9206,61739879,31209538
31000,143492,115748,21669,32464,34836,16329,26491,49391577,57674,53707,8661,42149423,32622,44589987,14046,38068834,30253,74951249,11706,62641027,31280448
31250,137621,96788,21958,31827,36099,17462,24027,49343572,58133,45010,9211,42347338,31468,44790870,14787,35446036,28875,76106284,12422,63637762,31477535
31500,130299,96466,21746,31039,36506,16414,25718,50427351,60372,46375,8288,43098827,30977,45731353,14252,35646146,28098,77972259,11244,63877219,31762110
31750,126345,98616,21866,31664,35039,17032,27321,50070635,57834,48873,9535,43626587,31703,45814987,14537,35929857,32496,77304966,10133,64973540,31993383
32000,124264,87874,21663,31330,31153,17164,26109,50608516,60614,45888,9045,44069922,30835,46817972,14002,36003651,29093,77033740,9585,66083942,32303064
32250,123504,90169,22129,30418,37878,15922,26757,51420262,59133,47256,8837,44296815,31618,46759098,14076,36531215,34460,82702330,10128,68350619,32495938
32500,234633,98788,22002,31338,35682,15847,31408,52678035,56318,54139,9206,48029217,30213,46721345,15725,36785512,34438,79484916,9832,66636875,32972258
32750,164541,102538,21626,30841,37388,16894,25141,54220824,64749,48460,10758,45159635,33522,47154024,15449,36860297,28705,79407409,9378,66822249,33066883
33000,153535,93628,21717,31010,39594,15928,27655,57702476,61159,53549,8655,45062961,31873,47644998,14836,37208777,839266,79781128,9580,67671729,33520646
33250,149978,98546,21839,31637,34036,16670,36887,54062331,60947,51712,8920,45123959,30615,48766323,15078,37222027,39627,80181089,9085,68678219,33559405
33500,147499,89259,21793,30673,37026,16083,19454,54178697,55285,53193,9048,45555102,31544,48901284,15159,37393447,42582,80706433,9794,68658674,33750620
33750,154197,89078,21910,31086,40488,18402,19338,54878261,61083,53258,8989,45958531,32337,48818243,16082,37830206,39797,81311775,12583,70495932,34123868
34000,147713,101662,21959,30799,40454,17876,21458,54430379,60047,50915,8790,46161315,30089,50249828,13616,38156925,36543,82149412,10289,70481017,34282363
34250,142661,98390,22552,30242,36331,16552,19317,54553388,60410,51670,9118,46572002,35362,49910483,15547,38124143,38703,85349547,9462,74726965,34620093
34500,145542,97088,21888,30381,37469,17049,19376,55659746,60996,53959,8964,47255109,31155,49951104,13672,38609219,34679,83728535,11330,71395328,34802762
34750,148457,96598,21668,30755,36713,17784,18039,54940722,63969,50967,8711,55327131,32983,50563169,15330,38815931,34800,84426627,16669,72036183,35286442
35000,208880,103840,21912,30999,42919,17176,16933,55272490,61591,51866,9036,47673831,31040,51611241,12876,41986791,33449,85615936,9045,72957037,35940289
35250,168842,97638,21793,31521,36592,20911,18716,55738123,63580,59175,9126,47911457,31511,52630514,15256,39988307,33662,85476438,13584,73604969,36491425
35500,172017,105678,21587,33201,35164,16587,16582,55894000,65207,73758,9281,49684937,32362,52034667,13805,40430869,33131,86404456,10917,74467207,36448720
35750,166047,115102,21505,31323,35106,17241,17297,63239376,64511,51509,8784,54125305,31332,52287217,13755,40722539,34036,88398851,10037,74490788,36559961
36000,170303,118202,21623,31751,34884,16340,16755,57808308,61626,50218,8851,49637051,32217,53647806,13211,40751752,32763,90464926,9547,75209726,36928056
36250,166838,103199,33494,34047,35163,16007,17318,59156059,60659,55290,9205,50605792,31008,53709054,13785,41805992,34136,88095882,9788,76088405,37185732
36500,170574,104701,21539,30714,34209,15253,16505,57693139,59410,57125,9916,50091520,30282,54742920,13667,42312045,30248,89203067,9251,77833746,37311412
36750,163980,107928,21623,28377,35862,15966,16742,58691114,60620,57959,9373,51205722,29711,54612035,13753,42700640,33995,90004541,12668,77344448,37646547
37000,170349,99786,21794,30709,71921,15877,17825,59321139,60762,57951,9621,51127971,30455,54380318,14571,42752527,30415,89853081,9458,78114710,37919187
37250,169259,109486,21927,30599,62763,17125,21319,59095733,61993,66127,9413,51125178,30144,54543286,14666,42696684,29779,89930650,11954,78462440,38196095
37500,175293,114163,21634,30376,52046,16337,16401,60405882,83074,56468,9581,51354019,30712,55092300,15339,43041360,30577,92501266,11920,78687442,38406147
37750,162917,109060,21587,30296,68418,16302,18762,60952044,69326,65122,9250,51786740,33795,56910190,14964,43381038,30789,91228915,9629,79189865,38734574
38000,189954,112302,21713,30120,62807,17463,16902,60510086,64514,71430,8962,52181041,30956,57666710,15336,44939870,29649,91999460,9460,79723207,38518521
38250,171547,109924,21580,30419,65903,17086,16620,67443660,64214,61002,9376,52444253,31379,59692057,14431,43812386,30176,92798853,9502,82000071,38855989
38500,152408,111129,21877,29986,49923,17827,17965,62098666,62921,74943,8884,53503450,30278,58382358,13969,47678123,31834,92935269,9460,81500470,38996169
38750,150339,104432,21714,31327,49423,16566,18342,62925832,60039,67375,9073,58963315,30448,60883518,14657,45168919,29278,93590205,9376,82051981,39108792
39000,144757,105167,21785,31237,53756,16209,17583,62795684,64840,59191,10006,54019501,31414,59210140,15078,44612537,30127,94604091,9957,82945424,39341248
39250,149629,119177,21868,30299,48751,16587,18385,62132685,60829,69307,9368,55026247,30386,59865277,14385,44965578,47547,97120999,9371,85474950,39689350
39500,182752,129175,22340,31123,48663,17507,17874,63482666,67878,61461,9529,54808582,31101,59792068,14198,45241637,34325,95629525,10412,83859608,39868103
39750,152088,111597,25411,29711,47092,17174,17601,62727396,69878,61500,9773,54887035,28182,62560682,13879,45561473,33346,96418877,9585,84330368,40114481
40000,156512,109477,22752,30379,43039,16586,17668,63427763,68786,56711,9707,54930008,30295,59988422,15038,45400807,35083,96818228,9461,86072005,40369121
40250,142218,111962,22331,30874,46128,15494,18945,64645280,64451,73096,9919,55201128,31570,60683547,15168,45661647,33209,97402322,9289,87167151,40611298
40500,152379,120177,22075,29577,43464,15295,17380,70289029,65677,62407,9797,56554623,33569,60942639,15468,46211493,32386,97906249,9832,87315904,40866674
